,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
338,urambo,TZ,-5,32,-5.0667,32.05,73.87,80,97,0.78,5/1/2021 - 9:19:38,Southern
339,astana,KZ,50,71,51.1801,71.446,55.4,21,0,6.71,5/1/2021 - 9:19:39,Northern
341,jiwani,PK,24,61,25.05,61.7417,85.06,63,3,12.77,5/1/2021 - 9:19:39,Northern
342,juneau,US,58,-135,58.3019,-134.4197,41,87,75,4.61,5/1/2021 - 9:17:33,Northern
343,constitucion,CL,13,-125,-35.3333,-72.4167,54.28,96,100,7.11,5/1/2021 - 9:18:38,Southern
344,champerico,GT,10,-94,14.3,-91.9167,80.6,78,40,1.48,5/1/2021 - 9:19:40,Northern
347,faanui,PF,-8,-151,-16.4833,-151.75,80.49,69,98,5.88,5/1/2021 - 9:18:2,Southern
348,sitka,US,51,-143,57.0531,-135.33,42.8,87,40,4.61,5/1/2021 - 9:18:3,Northern
349,boa vista,BR,2,-60,2.8197,-60.6733,84.2,65,75,9.22,5/1/2021 - 9:19:40,Northern
351,oyama,JP,30,139,36.3,139.8,64.99,77,75,17.27,5/1/2021 - 9:19:41,Northern
354,bethel,US,55,-162,41.3712,-73.414,51.01,46,1,18.41,5/1/2021 - 9:16:43,Northern
361,ust-koksa,RU,50,85,50.2696,85.6108,34.74,92,61,2.89,5/1/2021 - 9:19:42,Northern
362,fare,PF,-16,-151,-16.7,-151.0167,80.62,73,98,8.59,5/1/2021 - 9:19:42,Southern
364,ayagoz,KZ,47,80,47.9714,80.4392,48.02,49,84,14.07,5/1/2021 - 9:19:43,Northern
366,kasongo-lunda,CD,-8,17,-6.4667,16.8167,70.99,98,100,1.97,5/1/2021 - 9:19:43,Southern
367,aksu,CN,40,79,41.1231,80.2644,81.61,10,80,8.3,5/1/2021 - 9:19:43,Northern
369,necochea,AR,-43,-58,-38.5473,-58.7368,66.99,62,99,5.99,5/1/2021 - 9:19:44,Southern
372,port alfred,ZA,-51,32,-33.5906,26.891,66.81,53,0,9.28,5/1/2021 - 9:16:29,Southern
380,gao,ML,17,-1,16.6362,1.637,107.76,5,3,12.46,5/1/2021 - 9:19:45,Northern
387,am timan,TD,12,20,11.0297,20.2827,100.22,20,93,4.68,5/1/2021 - 9:19:46,Northern
389,tura,IN,68,100,25.5198,90.2201,75.58,56,7,4.38,5/1/2021 - 9:19:47,Northern
395,arua,UG,3,31,3.0201,30.9111,82.02,46,58,5.03,5/1/2021 - 9:19:47,Northern
401,flinders,AU,-37,131,-34.5833,150.8552,62.01,87,25,1.01,5/1/2021 - 9:19:48,Southern
402,kununurra,AU,-20,129,-15.7667,128.7333,68,83,0,4.7,5/1/2021 - 9:19:48,Southern
403,anloga,GH,2,3,5.7947,0.8973,91.4,62,20,12.66,5/1/2021 - 9:16:16,Northern
405,erie,US,40,-105,42.7667,-78.6664,45,59,9,7,5/1/2021 - 9:19:49,Northern
406,staryy nadym,RU,66,73,65.6118,72.6842,28.83,87,48,0.69,5/1/2021 - 9:19:49,Northern
411,batangafo,CF,7,18,7.3008,18.2833,82.44,58,98,8.14,5/1/2021 - 9:19:50,Northern
412,havre,FR,48,-109,49.5833,0.3333,52,71,0,14.97,5/1/2021 - 9:19:50,Northern
413,freetown,SL,17,-61,8.484,-13.2299,85.06,63,66,11.03,5/1/2021 - 9:15:1,Northern
